profession,Group,C(semantic_role)[T.patient]
accountant,0.28549459816276657,-0.0006616702891139597
carpenter,1.8340259122078875,0.1928627685740567
cashier,-0.5794536966579691,-0.06824788112497622
ceo,0.7378803035864472,0.1583220493569621
cleaner,-0.6132515011722549,-0.04137052155899334
cook,0.07598610937102972,0.007152285220785313
designer,0.01095956145289231,-0.013580428509922065
driver,0.9396771398865176,0.09185285124920647
lawyer,0.40178591040200673,0.048273463435067526
manager,0.4048406789359598,0.08718105127487588
receptionist,-1.6688361640752072,-0.20681405917498127
salesperson,0.5124903836242912,0.048166719421606996
secretary,-1.641143327656626,-0.2410164546283377
teacher,-0.7004559080833188,-0.06212017324814797
