profession,Group,C(syntactic_role)[T.subject]
accountant,0.6250358062733208,-0.03621007312693361
carpenter,2.53778999661848,-0.025910951824142416
cashier,-0.9455570443546695,0.18088008672394593
ceo,0.42143800690875327,0.03107588692622746
cleaner,-0.6570656976621051,-0.1536638167404989
cook,-0.14425253345401245,0.14188441406702143
designer,-0.007065915460574316,0.16931677562188083
driver,1.216551974985205,-0.11782128892826736
lawyer,1.0079449657599802,-0.3439681146972769
manager,0.38295542083217393,0.024928696810792385
receptionist,-1.9536011969703078,0.002834373765817006
salesperson,0.0375558141241635,0.0770094375038703
secretary,-1.7099704381271006,-0.034246541867048
teacher,-0.8117591592295922,0.08389111575718991
