target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,converged_rate
Qwen_Qwen3-4B-Base,full_mixed_2,1,7029.73418254633,8835.137692428387,0.8739446592563591,1.0
Qwen_Qwen3-4B-Base,full_mixed,1,7413.468975923068,7706.421243564308,0.8614758135539944,1.0
Qwen_Qwen3-4B-Base,no_dominance,1,7646.5255936956455,7878.16227043523,0.8560376469463283,1.0
Qwen_Qwen3-4B-Base,no_valence,1,7656.210916849363,7887.847593588947,0.8558065771081231,1.0
Qwen_Qwen3-4B-Base,no_semantic_role,1,7733.302841215176,7944.500987654209,0.8536814309063919,1.0
Qwen_Qwen3-4B-Base,no_tense,1,7911.757330388638,8034.3885121919475,0.8494593546697374,1.0
Qwen_Qwen3-4B-Base,no_syntactic_role,1,9013.16000348876,9224.358149927793,0.8205183592539392,1.0
Qwen_Qwen3-4B-Base,no_profession,1,20197.120058736415,20408.31820517545,0.04390568263035858,1.0
allenai_Olmo-3-1025-7B,full_mixed_2,1,6486.088216701406,8291.491726583463,0.9186079980424818,1.0
allenai_Olmo-3-1025-7B,full_mixed,1,7194.371896363453,7487.324164004693,0.9027421422790134,1.0
allenai_Olmo-3-1025-7B,no_semantic_role,1,7237.4488098531,7448.646956292133,0.9008126832500895,1.0
allenai_Olmo-3-1025-7B,no_valence,1,7244.559448364162,7476.196125103746,0.9017502112580742,1.0
allenai_Olmo-3-1025-7B,no_dominance,1,7253.254778782924,7484.891455522509,0.9015992561912665,1.0
allenai_Olmo-3-1025-7B,no_syntactic_role,1,8129.795785383532,8340.993931822566,0.9028541125759733,0.0
allenai_Olmo-3-1025-7B,no_tense,1,8527.485415256517,8650.116597059827,0.8803234183160735,1.0
allenai_Olmo-3-1025-7B,no_profession,1,22445.36434611384,22656.562492552875,0.031762610668429704,0.0
google_gemma-3-4b-pt,full_mixed_2,1,4206.417756406299,6011.821266288356,0.9324213323135878,1.0
google_gemma-3-4b-pt,full_mixed,1,4593.148779520743,4886.101047161983,0.9234607126351464,1.0
google_gemma-3-4b-pt,no_semantic_role,1,4746.112912457982,4957.311058897015,0.9205524190779549,1.0
google_gemma-3-4b-pt,no_dominance,1,4811.286996626419,5042.923673366004,0.9207299791208255,1.0
google_gemma-3-4b-pt,no_valence,1,4830.440982498403,5062.077659237988,0.9204779999020027,1.0
google_gemma-3-4b-pt,no_tense,1,5704.868582384501,5827.49976418781,0.9089215554294025,1.0
google_gemma-3-4b-pt,no_syntactic_role,1,6875.735741120014,7086.9338875590465,0.8750374000077272,1.0
google_gemma-3-4b-pt,no_profession,1,21349.428073562973,21560.626220002006,0.045796061506863425,1.0
gpt2,full_mixed_2,1,1649.7616677959231,3455.1651776779795,0.9324174183911615,1.0
gpt2,full_mixed,1,2197.1173916576518,2490.069659298891,0.9203155603263761,1.0
gpt2,no_dominance,1,2409.7107380164016,2641.3474147559864,0.9177210641037883,1.0
gpt2,no_semantic_role,1,2515.2207090945085,2726.4188555335413,0.9159717626985252,1.0
gpt2,no_valence,1,2524.603613551575,2756.24029029116,0.916202640725033,1.0
gpt2,no_syntactic_role,1,2857.3895498096026,3068.5876962486354,0.9110360426131029,1.0
gpt2,no_tense,1,2955.212519995963,3077.8437017992724,0.9103926940749962,1.0
gpt2,no_profession,1,18874.058618026,19085.256764465033,0.016981009217834415,0.0
mistralai_Mistral-7B-v0.3,full_mixed_2,1,4870.855724450223,6676.259234332279,0.9299150863946134,0.0
mistralai_Mistral-7B-v0.3,full_mixed,1,5555.683214300261,5848.635481941501,0.9189081096354419,1.0
mistralai_Mistral-7B-v0.3,no_valence,1,5590.1118644175585,5821.748541157143,0.9182621445413657,1.0
mistralai_Mistral-7B-v0.3,no_dominance,1,5685.1064537477505,5916.743130487335,0.9170820099535539,1.0
mistralai_Mistral-7B-v0.3,no_semantic_role,1,5727.923753464871,5939.121899903904,0.9162454367758082,1.0
mistralai_Mistral-7B-v0.3,no_syntactic_role,1,5906.65703894211,6117.855185381143,0.913158364490564,1.0
mistralai_Mistral-7B-v0.3,no_tense,1,7459.250940418322,7581.882122221631,0.8822534353682607,0.0
mistralai_Mistral-7B-v0.3,no_profession,1,22035.690987777183,22246.889134216217,0.031127281961101774,0.0
